Amplitude (LSB) - Signal,Time (us)
00016,0.366211
00000,0.367188
-0084,0.368164
00004,0.369141
00048,0.370117
00020,0.371094
00036,0.372070
00251,0.373047
00004,0.374023
-0096,0.375000
00048,0.375977
-0012,0.376953
00052,0.377930
00000,0.378906
00024,0.379883
-0084,0.380859
-0024,0.381836
-0032,0.382812
00116,0.383789
-0024,0.384766
00036,0.385742
00008,0.386719
00016,0.387695
00060,0.388672
00036,0.389648
-0080,0.390625
00020,0.391602
-0004,0.392578
00024,0.393555
-0028,0.394531
00004,0.395508
00060,0.396484
00004,0.397461
00084,0.398438
-0120,0.399414
00052,0.400391
00016,0.401367
00028,0.402344
-0020,0.403320
00375,0.404297
-0020,0.405273
00032,0.406250
-0084,0.407227
-0036,0.408203
00036,0.409180
-0072,0.410156
-0020,0.411133
00052,0.412109
00004,0.413086
-0144,0.414062
00040,0.415039
-0020,0.416016
-0020,0.416992
00028,0.417969
00020,0.418945
00072,0.419922
-0016,0.420898
00008,0.421875
00004,0.422852
-0016,0.423828
00004,0.424805
00028,0.425781
-0004,0.426758
00076,0.427734
00016,0.428711
-0116,0.429688
00040,0.430664
00020,0.431641
00020,0.432617
00000,0.433594
00068,0.434570
00068,0.435547
-0004,0.436523
-0120,0.437500
-0020,0.438477
00004,0.439453
00068,0.440430
00028,0.441406
00004,0.442383
00363,0.443359
00024,0.444336
00088,0.445312
00116,0.446289
00024,0.447266
00004,0.448242
00008,0.449219
00048,0.450195
-0060,0.451172
-0036,0.452148
00064,0.453125
00040,0.454102
00004,0.455078
-0016,0.456055
00052,0.457031
-0044,0.458008
-0227,0.458984
00004,0.459961
-0040,0.460938
-0084,0.461914
00004,0.462891
00016,0.463867
-0028,0.464844
00016,0.465820
00036,0.466797
00004,0.467773
-0008,0.468750
00171,0.469727
00052,0.470703
00004,0.471680
00000,0.472656
00028,0.473633
-0427,0.474609
00024,0.475586
-0092,0.476562
-0076,0.477539
00012,0.478516
00036,0.479492
-0028,0.480469
00004,0.481445
-0092,0.482422
00004,0.483398
00020,0.484375
-0096,0.485352
-0016,0.486328
00004,0.487305
00036,0.488281
00028,0.489258
-0251,0.490234
-0020,0.491211
-0171,0.492188
00012,0.493164
-0036,0.494141
-0004,0.495117
-0020,0.496094
-0004,0.497070
00064,0.498047
00028,0.499023
00148,0.500000
00096,0.500977
00024,0.501953
00044,0.502930
-0028,0.503906
00012,0.504883
00351,0.505859
00068,0.506836
-0076,0.507812
-0068,0.508789
00036,0.509766
-0052,0.510742
00008,0.511719
-0052,0.512695
00343,0.513672
00028,0.514648
-0016,0.515625
-0040,0.516602
00004,0.517578
00020,0.518555
-0044,0.519531
-0036,0.520508
-0227,0.521484
00016,0.522461
-0108,0.523438
00036,0.524414
00028,0.525391
-0012,0.526367
-0020,0.527344
-0036,0.528320
-0100,0.529297
-0012,0.530273
00120,0.531250
-0104,0.532227
-0004,0.533203
-0020,0.534180
-0020,0.535156
00036,0.536133
00339,0.537109
00016,0.538086
